Block size,Time to read
1,271778624215
2,152902575900
3,95256789648
4,77669759338
5,62728740404
6,49191638462
7,44536805891
8,39525992457
9,33905698121
10,31525158235
11,30853335749
12,27217176878
13,24906575997
14,25197987279
15,23609638973
16,22448975993
17,21449296884
18,19084498128
19,19290234320
20,18453643996
21,17890270428
22,17792938704
23,16542840527
24,15944117730
25,15478375278
26,15043665567
27,14590921405
28,13384456860
29,13836294735
30,13640635704
31,12657479023
32,11963878098
33,12749394164
34,12077621447
35,11678968173
36,12154920025
37,11932350460
38,10507522628
39,10550002680
40,11274765096
41,11095634676
42,10535290664
43,10727968198
44,10200120836
45,9120787677
46,9932685664
47,10111946213
48,9753373532
49,9118731471
50,9381864372
51,9252522150
52,9461167796
53,9352951634
54,9272923567
55,9143829781
56,9010311554
57,8200033881
58,8567079684
59,8408692365
60,7823079690
61,7716864293
62,7967929053
63,7564934690
64,7517187859
65,7705670276
66,7455315609
67,7433885840
68,7369975198
69,7534028363
70,7646452076
71,7017277578
72,7072091817
73,7125283909
74,7064212996
75,7018763580
76,6874977604
77,6779841241
78,6738146731
79,6764760475
80,6663871858
81,6623527357
82,6582178649
83,6544411882
84,6529756550
85,6463772973
86,6409940540
87,6376075902
88,6356575967
89,6355991431
90,6303560770
91,6258052849
92,6210187552
93,6186131555
94,6155810930
95,6155111235
96,6116964760
97,6065303986
98,6113251231
99,6053679075
100,6008810506
101,5360377138
102,5317305177
103,5469877090
104,5256045213
105,5255347228
106,5196678443
107,5174247763
108,5337196494
109,4823465469
110,4931278680
111,5257908834
112,4746585713
113,5028903493
114,5013348385
115,4968201255
116,4719123979
117,5101602705
118,4646040730
119,5061789664
120,4847396064
121,5018126051
122,4679054074
123,4816654087
124,4691371027
125,4920110387
126,4595291820
127,4718108111
128,4685160127
129,4532988386
130,4549485988
131,4636295208
132,4378965762
133,4599709737
134,4564525312
135,4246934391
136,4336790153
137,4295430279
138,4404079476
139,4327798388
140,4265805981
141,4194366044
142,4175758636
143,4213329349
144,4252506487
145,4165020847
146,4141725081
147,4221576400
148,4124109978
149,4153628758
150,4086834791
151,4120871972
152,4037212629
153,4183097019
154,4032520251
155,4065127261
156,4028628245
157,4064709585
158,3981497258
159,4004491041
160,4033465957
161,3988007578
162,4004801860
163,3915684894
164,3912539741
165,3937772576
166,3893209191
167,3889189383
168,3872412047
169,3920712229
170,3886523751
171,3850188451
172,3829712158
173,3839851550
174,3803836206
175,3834015640
176,3828740337
177,3848643278
178,3799409984
179,3784978113
180,3808031072
181,3796046817
182,3786282629
183,3761541398
184,3745283969
185,3740750108
186,3725188448
187,3724322373
188,3737168982
189,3707370633
190,3709768620
191,3701807446
192,3674003081
193,3703648840
194,3691995519
195,3674261518
196,3685362045
197,3653834729
198,3646013621
199,3645368320
200,3626130134
201,3371102421
202,3477430325
203,3369702989
204,3334490979
205,3469735119
206,3356525272
207,3319738135
208,3272481657
209,3434979669
210,3219980296
211,3204851811
212,3249718897
213,3246619717
214,3196623466
215,3285001691
216,3196844644
217,3178686830
218,3371000324
219,3158837129
220,3263858743
221,3169512000
222,3178897353
223,3192082211
224,3180209625
225,3138594507
226,3205857990
227,3170988900
228,3217297237
229,3326726006
230,3116050638
231,3266430137
232,3141832936
233,3170187566
234,3103662891
235,3120670014
236,3121796474
237,3074685185
238,3107808120
239,3247037413
240,3047225664
241,3072753692
242,3151262690
243,3097005974
244,3065617319
245,3077702101
246,3050469310
247,3024825410
248,3059728433
249,3032333285
250,3021554848
251,3011267353
252,3043189199
253,3053075129
254,3025426017
255,2988763123
256,3037294556
257,3024918752
258,2989617350
259,2984733404
260,3013744031
261,2962337284
262,2997171279
263,2991440622
264,2996496265
265,2997060704
266,2980464044
267,2952292431
268,2975010538
269,2985350331
270,2950319498
271,2968280141
272,2949979952
273,2945519478
274,2939328328
275,2931900539
276,2921594710
277,2913839587
278,2940455127
279,2927080607
280,2926159210
281,2891052513
282,2901655823
283,2920829049
284,2899862175
285,2885925604
286,2895177248
287,2913610806
288,2865350524
289,2889654235
290,2892829169
291,2874181168
292,2897655256
293,2862665889
294,2869357474
295,2873719160
296,2870299876
297,2851469265
298,2864302396
299,2891427355
300,2868294215
301,2705252571
302,2802559323
303,2719641923
304,2739179266
305,2644702718
306,2681789853
307,2675848711
308,2663809372
309,2773343573
310,2653501263
311,2721302156
312,2741908268
313,2662305208
314,2655988995
315,2643722180
316,2648773996
317,2621917021
318,2646578492
319,2646104272
320,2665440909
321,2640186945
322,2653737679
323,2639939969
324,2797988605
325,2627947440
326,2679672341
327,2596794446
328,2625782754
329,2605083542
330,2585491936
331,2603385948
332,2608872981
333,2588934741
334,2610984247
335,2615279841
336,2587504463
337,2605660183
338,2592799880
339,2573691031
340,2568494565
341,2611157261
342,2605348547
343,2547996451
344,2563452757
345,2582671199
346,2564415166
347,2551130072
348,2535980255
349,2595012883
350,2554427908
351,2571738833
352,2552482674
353,2547385477
354,2537062437
355,2554449885
356,2567931627
357,2539191977
358,2557688001
359,2561109029
360,2548107864
361,2541631331
362,2558863652
363,2527275617
364,2536162197
365,2553186261
366,2533278657
367,2524746380
368,2528913342
369,2517507704
370,2513402900
371,2520531656
372,2506618297
373,2500592083
374,2514337948
375,2515063400
376,2503763754
377,2515705735
378,2518851723
379,2515664445
380,2499415675
