Block size,Time to read
1,23614049152
2,20541923996
3,17520539246
4,18744144966
5,15460602250
6,14118296557
7,13363872664
8,12189321647
9,11700225263
10,11106589568
11,11525972846
12,11322379997
13,10861839151
14,10481919943
15,10514898649
16,10266461728
17,10022643480
18,9683066000
19,9597429795
20,9290752228
21,9253924528
22,8991666036
23,8899439691
24,8691832581
25,8595703747
26,8471908179
27,8432087674
28,8301288027
29,8172477249
30,8216022448
31,8017625841
32,7931629667
33,7891890418
34,7734104091
35,7665235747
36,7413433723
37,7355312974
38,7517434044
39,7464834025
40,7407867408
41,7400444650
42,7355522206
43,7316869580
44,7320828896
45,7331662277
46,7275191615
47,7252994032
48,7187658335
49,7230071396
50,7272483269
51,6926990856
52,7192616244
53,7157172317
54,7147418969
55,7103126772
56,7105458564
57,7095192867
58,7090588212
59,7053158479
60,7065481768
61,6840950155
62,7028078636
63,6195388687
64,6753115022
65,6708214353
66,6699001143
67,6689027931
68,6699834842
69,6914395709
70,6899695519
71,6886719458
72,6036053207
73,6637566144
74,6613925033
75,6851885478
76,6849547337
77,6390570503
78,6287563049
79,6288643993
80,6317039747
81,6075887816
82,6004937430
83,6370241237
84,6118727360
85,5995910214
86,6047106207
87,5898564965
88,5954129372
89,5995789017
90,6040765304
91,6009672450
92,6019964425
93,5990622617
94,5968096002
95,5956909787
96,5953997089
97,5979269488
98,5984601263
99,5908645266
100,5949868858
101,5917279456
102,5902566371
103,5917103925
104,5908902014
105,5906175292
106,5891363176
107,5894598874
108,5883604211
109,5858112403
110,5866503114
111,5860229341
112,5864283526
113,5867846477
114,5859313477
115,5838023401
116,5837974886
117,5846523004
118,5843589648
119,5832440316
120,5855106218
121,5844884467
122,5842778984
123,5846767852
124,5830098398
125,5828655839
126,5824952466
127,5808638645
128,5821563200
129,5829958349
130,5820106622
131,5821750361
132,5811978831
133,5806803756
134,5826475399
135,5805205776
136,5818168650
137,5818166311
138,5803343127
139,5807877486
140,5793640482
141,5784971592
142,5800478932
143,5786410289
144,5795369386
145,5796930581
146,5792316517
147,5821861385
148,5812727861
149,5809486233
150,5804001255
151,5800943523
152,5796084255
153,5808286696
154,5808987905
155,5819685633
156,5834248187
157,5819287776
158,5803836508
159,5811836552
160,5801381962
161,5791926153
162,5796590864
163,5818267735
164,5803942965
165,5799829630
166,5812124368
167,5794242538
168,5798562612
169,5784060541
170,5790788387
171,5790929346
172,5788699340
173,5790429636
174,5794326720
175,5797173223
176,5801116935
177,5788528851
178,5807220099
179,5844636497
180,5785143573
181,5776362108
182,5779651425
183,5778880436
184,5776845202
185,5795503550
186,5776948570
187,5770406804
188,5773655146
189,5758948401
190,5770286374
191,5767167465
192,5765883721
193,5752966038
194,5767992518
195,5769143096
196,5762472922
197,5759461847
198,5765620458
199,5805886075
200,5776399991
201,5756845909
202,5771451671
203,5759280434
204,5753528698
205,5767274564
206,5774545822
207,5756153507
208,5771153048
209,5761265317
210,5775952097
211,5776512537
212,5763170518
213,5758845156
214,5768575405
215,5766864473
216,5769634371
217,5766639592
218,5768573325
219,5766820113
220,5763644272
221,5760259156
222,5771961624
223,5758221484
224,5765305073
225,5768931369
226,5763612328
227,5761389712
228,5775645979
229,5765068600
230,5763183207
231,5764345214
232,5767088101
233,5755348989
234,5758244747
235,5762336196
236,5762034545
237,5757479950
238,5759169134
239,5766335962
240,5757125975
241,5762843442
242,5763540356
243,5762026549
244,5760247899
245,5758889962
246,5759372151
247,5767647686
248,5751898502
249,5764154726
250,5768901322
251,5794365074
252,5768449810
253,5788876031
254,5758192723
255,5776119400
256,5781490080
257,5774910033
258,5770879905
259,5773226868
260,5775071804
261,5763911568
262,5755389728
263,5752142114
264,5743025909
265,5746511264
266,5741169526
267,5739075493
268,5756724356
269,5752209936
270,5742987279
271,5749215048
272,5748780563
273,5750491446
274,5750825961
275,5756957916
276,5761206705
277,5773976759
278,5782502414
279,5794305128
280,5772951329
281,5787681402
282,5857033439
283,5913616356
284,5798328386
285,5803568679
286,5790329142
287,5786026146
288,5789050866
289,5793920452
290,5797081889
291,5789127108
292,5788899850
293,5799670530
294,5801961828
295,5799321598
296,5792287909
297,5804495685
298,5794831247
299,5804224616
300,5799507423
301,5805251165
302,5814148236
303,5847664107
304,5805320697
305,5809800023
306,5809321703
307,5812482933
308,5805407807
309,5818886562
310,5816751441
311,5796872595
312,5805517368
313,5804585697
314,5805675153
315,5905307148
316,5909633688
317,5810647891
318,5800422784
319,5832331884
320,5984325435
321,5821499073
322,5818476863
323,5819245833
324,5822133580
325,5828818831
326,5811241884
327,5830272955
328,5825519811
329,5820800106
330,5831764594
331,5838642788
332,5845983524
333,5903175287
334,5880373033
335,5879835001
336,5918788979
337,6206745697
338,5885859038
339,5892374188
340,5892999368
341,5879424961
342,5887562647
343,5893818253
344,5897095420
345,5892646044
346,5883172420
347,5912913713
348,5884574676
349,5900558897
350,5896771527
351,5894118854
352,5894516931
353,5907838555
354,5939908753
355,5916184844
356,5901706568
357,5915811808
358,5915511278
359,5919338892
360,5913922749
361,5929720155
362,5906856664
363,5924072706
