Block size,Time to read
1,672512695
2,338152789
3,280886198
4,261732244
5,241726381
6,222869657
7,214296698
8,202491102
9,182263641
10,177141401
11,174586738
12,169216531
13,169127140
14,164962036
15,163363632
16,160777979
17,158852295
18,159538863
19,157329642
20,155548563
21,155301379
22,155066384
23,152836436
24,152023212
25,151612505
26,150215563
27,151355313
28,149324223
29,151063274
30,148593689
31,149476904
32,148337154
33,151177184
34,147192976
35,147263105
36,146470771
37,146348924
38,146479389
39,146788024
40,146034467
41,146710906
42,146534609
43,146307028
44,145143377
45,159815186
46,159222050
47,159541091
48,154503246
49,147242267
50,148471740
51,144461351
52,148262807
53,160193099
54,160530959
55,159353034
56,158981016
57,158651030
58,159114836
59,159065697
60,159488579
61,158433851
62,159035204
63,159311254
64,158463923
65,158247987
66,158433147
67,156421411
68,157080475
69,156597605
70,156653118
71,157366138
72,157221419
73,158934455
74,157719149
75,157167045
76,157302929
77,156154632
78,157044094
79,156952699
80,155968186
81,156103412
82,148147654
83,141578696
84,141667939
85,140268918
86,143449624
87,148255087
88,156187826
89,155912154
90,173025502
91,173443722
92,173561274
93,172910795
94,174968752
95,173447796
96,174061565
97,174784473
98,175373350
99,174694954
100,144664423
